source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
in:union_territory:andaman-and-nicobar-islands,IN,union_territory,Andaman and Nicobar Islands,,AN,,1,,
in:state:andhra-pradesh,IN,state,Andhra Pradesh,,AP,,1,,
in:state:arunachal-pradesh,IN,state,Arunachal Pradesh,,AR,,1,,
in:state:assam,IN,state,Assam,,AS,,1,,
in:state:bihar,IN,state,Bihar,,BR,,1,,
in:union_territory:chandigarh,IN,union_territory,Chandigarh,,CH,,1,,
in:state:chhattisgarh,IN,state,Chhattisgarh,,CG,,1,,
in:union_territory:dadra-and-nagar-haveli-and-daman-and-diu,IN,union_territory,Dadra and Nagar Haveli and Daman and Diu,,DH,,1,,
in:union_territory:delhi,IN,union_territory,Delhi,,DL,,1,,
in:state:goa,IN,state,Goa,,GA,,1,,
in:state:gujarat,IN,state,Gujarat,,GJ,,1,,
in:state:himachal-pradesh,IN,state,Himachal Pradesh,,HP,,1,,
in:state:haryana,IN,state,Haryana,,HR,,1,,
in:state:jharkhand,IN,state,Jharkhand,,JH,,1,,
in:union_territory:jammu-and-kashmir,IN,union_territory,Jammu and Kashmir,,JK,,1,,
in:state:karnataka,IN,state,Karnataka,,KA,,1,,
in:state:kerala,IN,state,Kerala,,KL,,1,,
in:union_territory:ladakh,IN,union_territory,Ladakh,,LA,,1,,
in:union_territory:lakshadweep,IN,union_territory,Lakshadweep,,LD,,1,,
in:state:maharashtra,IN,state,Maharashtra,,MH,,1,,
in:state:meghalaya,IN,state,Meghalaya,,ML,,1,,
in:state:manipur,IN,state,Manipur,,MN,,1,,
in:state:madhya-pradesh,IN,state,Madhya Pradesh,,MP,,1,,
in:state:mizoram,IN,state,Mizoram,,MZ,,1,,
in:state:nagaland,IN,state,Nagaland,,NL,,1,,
in:state:odisha,IN,state,Odisha,,OD,,1,,
in:state:punjab,IN,state,Punjab,,PB,,1,,
in:union_territory:puducherry,IN,union_territory,Puducherry,,PY,,1,,
in:state:rajasthan,IN,state,Rajasthan,,RJ,,1,,
in:state:sikkim,IN,state,Sikkim,,SK,,1,,
in:state:telangana,IN,state,Telangana,,TS,,1,,
in:state:tamil-nadu,IN,state,Tamil Nadu,,TN,,1,,
in:state:tripura,IN,state,Tripura,,TR,,1,,
in:state:uttarakhand,IN,state,Uttarakhand,,UK,,1,,
in:state:uttar-pradesh,IN,state,Uttar Pradesh,,UP,,1,,
in:state:west-bengal,IN,state,West Bengal,,WB,,1,,
in:district:603,IN,district,Nicobar,,603,in:union_territory:andaman-and-nicobar-islands,2,,
in:district:632,IN,district,North and Middle Andaman,,632,in:union_territory:andaman-and-nicobar-islands,2,,
in:district:602,IN,district,South Andaman,,602,in:union_territory:andaman-and-nicobar-islands,2,,
in:district:745,IN,district,Alluri Sitharama Raju,,745,in:state:andhra-pradesh,2,,
in:district:744,IN,district,Anakapalli,,744,in:state:andhra-pradesh,2,,
in:district:502,IN,district,Ananthapuramu,,502,in:state:andhra-pradesh,2,,
in:district:753,IN,district,Annamayya,,753,in:state:andhra-pradesh,2,,
in:district:750,IN,district,Bapatla,,750,in:state:andhra-pradesh,2,,
in:district:503,IN,district,Chittoor,,503,in:state:andhra-pradesh,2,,
in:district:747,IN,district,Dr. B.R. Ambedkar Konaseema,,747,in:state:andhra-pradesh,2,,
in:district:505,IN,district,East Godavari,,505,in:state:andhra-pradesh,2,,
in:district:748,IN,district,Eluru,,748,in:state:andhra-pradesh,2,,
in:district:506,IN,district,Guntur,,506,in:state:andhra-pradesh,2,,
in:district:746,IN,district,Kakinada,,746,in:state:andhra-pradesh,2,,
in:district:510,IN,district,Krishna,,510,in:state:andhra-pradesh,2,,
in:district:511,IN,district,Kurnool,,511,in:state:andhra-pradesh,2,,
in:district:790,IN,district,Markapuram,,790,in:state:andhra-pradesh,2,,
in:district:755,IN,district,Nandyal,,755,in:state:andhra-pradesh,2,,
in:district:749,IN,district,NTR,,749,in:state:andhra-pradesh,2,,
in:district:751,IN,district,Palnadu,,751,in:state:andhra-pradesh,2,,
in:district:743,IN,district,Parvathipuram Manyam,,743,in:state:andhra-pradesh,2,,
in:district:791,IN,district,Polavaram,,791,in:state:andhra-pradesh,2,,
in:district:517,IN,district,Prakasam,,517,in:state:andhra-pradesh,2,,
in:district:515,IN,district,Sri Potti Sriramulu Nellore,,515,in:state:andhra-pradesh,2,,
in:district:754,IN,district,Sri Sathya Sai,,754,in:state:andhra-pradesh,2,,
in:district:519,IN,district,Srikakulam,,519,in:state:andhra-pradesh,2,,
in:district:752,IN,district,Tirupati,,752,in:state:andhra-pradesh,2,,
in:district:520,IN,district,Visakhapatnam,,520,in:state:andhra-pradesh,2,,
in:district:521,IN,district,Vizianagaram,,521,in:state:andhra-pradesh,2,,
in:district:523,IN,district,West Godavari,,523,in:state:andhra-pradesh,2,,
in:district:504,IN,district,YSR Kadapa,,504,in:state:andhra-pradesh,2,,
in:district:628,IN,district,Anjaw,,628,in:state:arunachal-pradesh,2,,
in:district:787,IN,district,Bichom,,787,in:state:arunachal-pradesh,2,,
